2025-09-01;08:38:01.142;[0] PING;08:38:01.922;[1/0] PONG (1)
2025-09-01;08:38:02.325;[1] PING;08:38:02.526;[2/1] PONG (1)
2025-09-01;08:38:04.866;[2] PING;08:38:05.303;[6/2] PONG (1)
2025-09-01;;;08:38:05.850;[7] keepalive
2025-09-01;08:38:05.913;[3] PING;08:38:06.470;[9/3] PONG (1)
2025-09-01;08:38:08.550;[4] PING;08:38:09.265;[10/4] PONG (1)
2025-09-01;08:38:09.157;[5] PING;08:38:10.079;[11/5] PONG (1)
2025-09-01;;;08:38:10.853;[13] keepalive
2025-09-01;08:38:12.981;[7] PING;08:38:13.684;[16/7] PONG (1)
2025-09-01;08:38:11.602;[6] PING;08:38:13.602;(таймаут)
2025-09-01;08:38:13.706;[8] PING;08:38:13.911;[17/8] PONG (1)
2025-09-01;;;08:38:15.726;[19] keepalive
2025-09-01;08:38:15.890;[9] PING;08:38:16.177;[21/9] PONG (1)
2025-09-01;08:38:19.659;[11] PING;08:38:20.479;[24/11] PONG (1)
2025-09-01;;;08:38:20.726;[25] keepalive
2025-09-01;08:38:18.650;[10] PING;08:38:20.650;(таймаут)
2025-09-01;08:38:22.129;[12] PING;08:38:22.788;[28/12] PONG (1)
2025-09-01;08:38:24.642;[13] PING;08:38:25.301;[29/13] PONG (1)
2025-09-01;;;08:38:25.728;[30] keepalive
2025-09-01;08:38:27.112;[14] PING;08:38:29.112;(таймаут)
2025-09-01;08:38:29.148;[16] PING;08:38:29.745;[34/16] PONG (1)
2025-09-01;08:38:30.135;[17] PING;08:38:30.517;[37/17] PONG (1)
2025-09-01;08:38:28.599;[15] PING;08:38:30.599;(таймаут)
2025-09-01;;;08:38:30.730;[38] keepalive
2025-09-01;08:38:31.320;[18] PING;08:38:31.686;[40/18] PONG (1)
2025-09-01;08:38:31.829;[19] PING;08:38:32.461;[41/19] PONG (1)
2025-09-01;08:38:33.367;[20] PING;08:38:34.129;[43/20] PONG (1)
2025-09-01;;;08:38:35.733;[45] keepalive
2025-09-01;08:38:35.026;[21] PING;08:38:35.887;[47/21] PONG (1)
2025-09-01;08:38:37.633;[22] PING;08:38:38.186;[48/22] PONG (1)
2025-09-01;;;08:38:40.735;[51] keepalive
2025-09-01;08:38:40.390;[24] PING;08:38:40.875;[53/24] PONG (1)
2025-09-01;08:38:39.106;[23] PING;08:38:41.106;(таймаут)
2025-09-01;08:38:42.423;[25] PING;08:38:43.034;[56/25] PONG (1)
2025-09-01;08:38:43.195;[26] PING;08:38:43.589;[58/26] PONG (1)
2025-09-01;08:38:45.090;[27] PING;08:38:45.523;[59/27] PONG (1)
2025-09-01;;;08:38:45.617;[60] keepalive
2025-09-01;08:38:47.813;[28] PING;08:38:48.657;[63/28] PONG (1)
2025-09-01;;;08:38:50.618;[67] keepalive
2025-09-01;08:38:50.336;[29] PING;08:38:50.957;[69/29] PONG (1)
2025-09-01;08:38:51.974;[30] PING;08:38:52.271;[70/30] PONG (1)
2025-09-01;08:38:52.371;[31] PING;08:38:52.550;[71/31] PONG (1)
2025-09-01;08:38:54.739;[32] PING;08:38:55.110;[73/32] PONG (1)
2025-09-01;;;08:38:55.621;[74] keepalive
2025-09-01;08:38:57.046;[33] PING;08:38:57.800;[77/33] PONG (1)
2025-09-01;08:38:57.536;[34] PING;08:38:58.219;[78/34] PONG (1)
2025-09-01;08:38:59.349;[35] PING;08:39:00.303;[80/35] PONG (1)
2025-09-01;;;08:39:00.623;[81] keepalive
2025-09-01;08:39:01.590;[36] PING;08:39:02.557;[85/36] PONG (1)
2025-09-01;08:39:03.199;[37] PING;08:39:03.909;[86/37] PONG (1)
2025-09-01;08:39:05.339;[38] PING;08:39:05.528;[88/38] PONG (1)
2025-09-01;;;08:39:05.625;[89] keepalive
2025-09-01;08:39:05.958;[39] PING;08:39:06.420;[92/39] PONG (1)
2025-09-01;08:39:06.836;[40] PING;08:39:07.364;[93/40] PONG (1)
2025-09-01;08:39:08.577;[41] PING;08:39:09.116;[95/41] PONG (1)
2025-09-01;08:39:09.701;[42] PING;08:39:10.113;[98/42] PONG (1)
2025-09-01;;;08:39:10.631;[99] keepalive
2025-09-01;08:39:12.288;[43] PING;08:39:12.749;[101/43] PONG (1)
2025-09-01;08:39:13.211;[44] PING;08:39:13.765;[103/44] PONG (1)
2025-09-01;08:39:13.816;[45] PING;08:39:14.029;[104/45] PONG (1)
2025-09-01;;;08:39:15.518;[106] keepalive
2025-09-01;08:39:16.228;[46] PING;08:39:16.785;[108/46] PONG (1)
2025-09-01;08:39:18.685;[48] PING;08:39:19.196;[110/48] PONG (1)
2025-09-01;08:39:17.891;[47] PING;08:39:19.891;(таймаут)
2025-09-01;;;08:39:20.520;[112] keepalive
2025-09-01;08:39:20.131;[49] PING;08:39:21.030;[115/49] PONG (1)
2025-09-01;08:39:22.105;[50] PING;08:39:22.861;[117/50] PONG (1)
2025-09-01;08:39:23.187;[51] PING;08:39:23.575;[119/51] PONG (1)
2025-09-01;;;08:39:25.523;[121] keepalive
2025-09-01;08:39:25.551;[52] PING;08:39:26.350;[124/52] PONG (1)
2025-09-01;08:39:26.542;[53] PING;08:39:27.277;[127/53] PONG (1)
2025-09-01;08:39:27.386;[54] PING;08:39:27.811;[128/54] PONG (1)
2025-09-01;;;08:39:30.526;[131] keepalive
